"Alexander, Lamar"	TN	R
"Baldwin, Tammy"	WI	D
"Barrasso, John"	WY	R
"Bennet, Michael F."	CO	D
"Blumenthal, Richard "	CT	D
"Blunt, Roy"	MO	R
"Booker, Cory A."	NJ	D
"Boozman, John"	AR	R
"Brown, Sherrod"	OH	D
"Burr, Richard"	NC	R
"Cantwell, Maria"	WA	D
"Capito, Shelley Moore"	WV	R
"Cardin, Benjamin L."	MD	D
"Carper, Thomas R."	DE	D
"Casey, Robert P., Jr. "	PA	D
"Cassidy, Bill "	LA	R
"Cochran, Thad "	MS	R
"Collins, Susan M."	ME	R
"Coons, Christopher A."	DE	D
"Corker, Bob"	TN	R
"Cornyn, John"	TX	R
"Cortez Masto, Catherine"	NV	D
"Cotton, Tom"	AR	R
"Crapo, Mike"	ID	R
"Cruz, Ted"	TX	R
"Daines, Steve"	MT	R
"Donnelly, Joe"	IN	D
"Duckworth, Tammy"	IL	D
"Durbin, Richard J."	IL	D
"Enzi, Michael B."	WY	R
"Ernst, Joni"	IA	R
"Feinstein, Dianne"	CA	D
"Fischer, Deb"	NE	R
"Flake, Jeff"	AZ	R
"Franken, Al "	MN	D
"Gardner, Cory"	CO	R
"Gillibrand, Kirsten E."	NY	D
"Graham, Lindsey "	SC	R
"Grassley, Chuck"	IA	R
"Harris, Kamala D. "	CA	D
"Hassan, Margaret Wood"	NH	D
"Hatch, Orrin G."	UT	R
"Heinrich, Martin"	NM	D
"Heitkamp, Heidi"	ND	D
"Heller, Dean"	NV	R
"Hirono, Mazie K."	HI	D
"Hoeven, John"	ND	R
"Inhofe, James M."	OK	R
"Isakson, Johnny"	GA	R
"Johnson, Ron"	WI	R
"Kaine, Tim"	VA	D
"Kennedy, John"	LA	R
"King, Angus S., Jr."	ME	I
"Klobuchar, Amy"	MN	D
"Lankford, James"	OK	R
"Leahy, Patrick J."	VT	D
"Lee, Mike"	UT	R
"Manchin, Joe, III"	WV	D
"Markey, Edward J."	MA	D
"McCain, John"	AZ	R
"McCaskill, Claire"	MO	D
"McConnell, Mitch"	KY	R
"Menendez, Robert"	NJ	D
"Merkley, Jeff"	OR	D
"Moran, Jerry"	KS	R
"Murkowski, Lisa"	AK	R
"Murphy, Christopher"	CT	D
"Murray, Patty"	WA	D
"Nelson, Bill"	FL	D
"Paul, Rand"	KY	R
"Perdue, David"	GA	R
"Peters, Gary C."	MI	D
"Portman, Rob "	OH	R
"Reed, Jack"	RI	D
"Risch, James E."	ID	R
"Roberts, Pat "	KS	R
"Rounds, Mike"	SD	R
"Rubio, Marco"	FL	R
"Sanders, Bernard"	VT	I
"Sasse, Ben"	NE	R
"Schatz, Brian"	HI	D
"Schumer, Charles E."	NY	D
"Scott, Tim"	SC	R
"Shaheen, Jeanne"	NH	D
"Shelby, Richard C."	AL	R
"Stabenow, Debbie"	MI	D
"Strange, Luther"	AL	R
"Sullivan, Dan"	AK	R
"Tester, Jon"	MT	D
"Thune, John"	SD	R
"Tillis, Thom"	NC	R
"Toomey, Patrick J."	PA	R
"Udall, Tom"	NM	D
"Van Hollen, Chris"	MD	D
"Warner, Mark R."	VA	D
"Warren, Elizabeth"	MA	D
"Whitehouse, Sheldon"	RI	D
"Wicker, Roger F."	MS	R
"Wyden, Ron"	OR	D
"Young, Todd"	IN	R
